band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note
band_A,8 mm steel,5,32.3,2.093,40.9,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,6,32.4,2.099,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,7,32.1,2.080,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,8,32.4,2.099,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,9,32.3,2.093,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,10,32.3,2.093,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,11,32.3,2.093,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,12,32.3,2.093,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,13,32.3,2.093,40.9,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,14,32.3,2.093,40.7,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,15,32.3,2.093,40.7,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,16,32.3,2.093,40.7,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,17,32.3,2.093,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,18,32.3,2.093,40.7,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,19,32.3,2.093,40.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,20,32.3,2.093,40.8,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,1,21.8,1.413,44.5,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,2,21.6,1.400,44.4,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,3,21.9,1.419,44.5,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,4,22.2,1.439,44.0,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,5,22.2,1.439,44.4,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,6,22.1,1.432,44.3,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,7,21.6,1.400,44.3,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,8,21.6,1.400,44.2,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,9,21.5,1.393,44.0,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,10,21.6,1.400,44.2,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,11,21.5,1.393,44.1,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,12,21.6,1.400,44.3,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,13,21.6,1.400,44.3,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,14,21.5,1.393,44.2,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,15,21.6,1.400,44.2,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,16,21.6,1.400,44.3,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,17,21.5,1.393,44.3,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,18,21.6,1.400,44.3,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,19,21.6,1.400,44.2,0.800,0.268,1.08,10.591182,
band_A,7 mm steel,20,21.6,1.400,44.2,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,1,13.6,0.881,46.9,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,2,14.3,0.927,46.8,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,3,13.7,0.888,46.8,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,4,13.7,0.888,46.8,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,5,13.7,0.888,46.8,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,6,13.7,0.888,46.9,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,7,13.6,0.881,46.7,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,8,13.6,0.881,46.8,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,9,13.6,0.881,46.8,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,10,13.6,0.881,46.7,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,11,13.6,0.881,46.7,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,12,13.6,0.881,47.1,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,13,13.6,0.881,46.9,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,14,13.6,0.881,46.8,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,15,13.6,0.881,46.7,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,16,13.6,0.881,46.8,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,17,13.6,0.881,47.0,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,18,13.7,0.888,46.9,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,19,13.6,0.881,47.0,0.800,0.268,1.08,10.591182,
band_A,6 mm steel,20,13.6,0.881,46.9,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,1,10.3,0.667,47.9,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,2,10.3,0.667,47.9,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,3,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,4,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,5,10.5,0.680,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,6,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,7,10.5,0.680,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,8,10.5,0.680,47.6,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,9,10.5,0.680,47.6,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,10,10.5,0.680,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,11,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,12,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,13,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,14,10.2,0.661,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,15,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,16,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,17,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,18,10.5,0.680,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,19,10.3,0.667,47.7,0.800,0.268,1.08,10.591182,
band_A,5.5 mm steel,20,10.5,0.680,47.6,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,1,7.9,0.512,48.5,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,2,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,3,7.9,0.512,48.5,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,4,7.9,0.512,48.3,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,5,8.0,0.518,48.3,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,6,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,7,8.0,0.518,48.5,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,8,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
band_A,5 mm steel,9,7.9,0.512,48.4,0.800,0.268,1.08,10.591182,
